date,timestamp,"AlMoajil Riyadh Incomer 1 - E","AlMoajil Riyadh Incomer 2 - E","Fridge - E","Incomer 1 - E","Incomer 2 - E","Incomer 3 - E"
2021-02-01 00:00,1612126800,579.59856771678,6756.9026945904,1495.7321270155,1275.9481738547,764.04868032504,3124.311207613
2021-02-01 01:00,1612130400,605.83906394988,7153.6509290412,1493.166167601,1247.5629403619,759.43402238691,3196.0192761775
2021-02-01 02:00,1612134000,600.69311641157,6987.0584749207,0,607.17350835982,516.2956241396,1551.3997290991
2021-02-01 03:00,1612137600,602.74416914955,7031.7038377374,0,614.82853835355,353.58885007666,1658.1997171286
2021-02-01 04:00,1612141200,585.04806559905,7170.1067971662,0,614.8245087734,446.75895895268,1536.7490640562
2021-02-01 05:00,1612144800,542.18741828203,9959.7450164743,0,609.93727599899,364.48999552231,1658.7838020865
2021-02-01 06:00,1612148400,7322.9512840547,32985.944341604,1600.2849500841,837.13181540067,344.01260780828,3189.6371351313
2021-02-01 07:00,1612152000,17172.902933698,62690.633588079,1838.045834682,982.66840603366,338.83872774738,3443.8133425657
2021-02-01 08:00,1612155600,56125.568749681,69440.009098887,1852.1682137614,960.80128436768,370.76534245652,3425.2747852113
2021-02-01 09:00,1612159200,163089.9046404,92911.078480713,1855.4226357471,960.21346410154,340.58119918831,3516.4253008068
2021-02-01 10:00,1612162800,161308.92627652,87698.213141553,1901.7023026552,966.97374860244,426.62868306198,3765.7933915257
2021-02-01 11:00,1612166400,154138.63351898,78433.261303,1980.1935918434,973.27162687434,425.34990826953,3927.8818769958
2021-02-01 12:00,1612170000,154178.85239802,80579.460101206,1560.3716092277,670.89518120605,356.05995875137,3586.9144814927
2021-02-01 13:00,1612173600,153881.77777703,88001.627399046,2019.8111336688,620.247674932,491.7322770427,3934.2808998656
2021-02-01 14:00,1612177200,10190.882118095,6298.3404079005,235.1151429899,51.959246697603,26.582721981336,1578.7625065092
2021-02-01 15:00,1612180800,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 16:00,1612184400,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 17:00,1612188000,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 18:00,1612191600,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 19:00,1612195200,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 20:00,1612198800,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 21:00,1612202400,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 22:00,1612206000,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 23:00,1612209600,NaN,NaN,NaN,NaN,NaN,NaN
